"Description","Specialties","Industries","Ownership"
"RequirementONE Group, Ltd. is a pioneer in freeing up content that is locked in documents, spreadsheets, or binders on the shelf. Its cloud-based platform is configurable, allowing for the accelerated delivery of solutions for compliance, regulatory horizon scanning and change management, business software implementation, and product development.","Regulatory Intelligence, Horizon Scanning, Compliance, Policy, Procedure, Control, Risk, Internal Audit, Requirement Management, Change Management, SaaS, Collaboration, Emerging Risk, GRC, Regulatory change, Regulatory reporting","Internet, Computer Software","Venture Capital"
"Klappir Grænar Lausnir hf. empowers businesses, municipalities, investors and governments to work systematically toward improved sustainability. The company provides methodology and SaaS solutions facilitating sustainability management and reporting for ESG, GRI, UNSDG and more. It offers environmental management, enterprise software, ESG reports, environmental reports, compliance, green software solutions, fleet management solutions, environmental compliance, software solutions, environmental software solutions, data management, environmental data management, emission monitoring, CO2 monitoring, risk management, business continuity, STPA, sustainability, and sustainability reporting.","Environmental Management, Enterprise Software, ESG Reports, Environmental Reports, Compliance, Green Software Solutions, Fleet Management Solutions, Environmental Compliance, Software Solutions, Environmental Software Solutions, Data Management, Environmental Data Management, Emission Monitoring, CO2 Monitoring, Risk Management, Business Continuity, STPA, sustainability, sustainability reporting","Information Services","Private"
"RAM Software Systems, Inc. doing business as AIM Online EMS Software and Services provides ambulance information management software products and services in the emergency medical services industry. It offers a suite of software products and services that manage the operations of ambulance companies-from dispatch to electronic patient care reporting to billing, including crew, fleet, membership, business intelligence, subscriptions, and reporting.","Ambulance Information Management, EMS Computer Software, Emergency Management, EMS Billing Services, Online Computer Software, Patient Care Reporting, SaaS, Cloud Technology, EMS Dispatch Software, EMS Billing Software","Computer Software, Internet, Information Technology & Services","Private"
"OPTURE AG is one of the leading risk management software and service provider for corporates. It develops innovative software solutions. The company provides software solutions for enterprise-wide risk management, governance, risk, and compliance, AIFM risk management, and simulation-based planning.","data quality, implementation, development, coaching, seminars","Computer Software","Private"
"ASG Technologies Group, Inc. provides software solutions for information access, management, and control needs. The company offers workspace management, enterprise data intelligence, content, data protection, application management, and performance management. It also serves diverse types of customers worldwide and top vertical markets including healthcare, financial services, insurance, and government.","workspaces, operations management, enterprise data intelligence, data protection, content solutions, applications management, performance management, computer hardware development","Information Services","Private Sub"
"Atarev Software Solutions, Inc. is built on a comprehensive data model managed in a single source environment, enabling rapid integration of all commercial data. The company brings a comprehensive, accurate, fully automated, all-in-one solution for the pricing and revenue management of the airline industry. Its initial product line includes a Market Strategy Dashboard and Low Fare Analyzer.","Revenue Management, Software Solutions, Pricing, Data Science, Artificial Intelligence, Deep Learning, Deep Neural Network, Analytics, Continuous Pricing, Automatic Fare Filing, Automatic Fare Rules Filing, Incremental Revenue, Cost Effective, User Friendly, 24/7 online support, QSI modeling, State of the art algoritm, Data Driven, Simplified User Interface, Cloud bases, Advanced Support, Airline Consulting","Computer Software, Internet","Private"
"Cartel IT Solutions, LLC is a Business Solution company with a firm dedication to supporting its clients with an excellent track record for designing, developing, and deploying enterprise-class software solutions across the Middle East. The company specialized in Human Capital Management (HCM / HRMS) solutions, time management solutions, project and job costing solutions, payroll outsourcing services, Corporate Identity Design, and Website Development.","Sapience Human Resource Management (HRMS), Payroll Outsourcing Services, Enterprise Resource Planning (ERP), Human Capital Management (HCM), Labour Job Costing and Workforce Management, Employee Performance Management, Time Attendance System, Sapience Human Capital Management (HCM)","Computer Software","Private"
"Informatics India is a software solutions company. It provides Innovative, Quality, High performance, and Reliable IT Solutions registered as an SSI unit. It has a strong Technical base of Professionals, managed by highly experienced specialists.","Software Development","Computer Software, Internet, Information Technology & Services","Private"
"NoStress Commerce s.r.o. doing business as Koongo is a software company. It provides solutions for feed and affiliate marketing for e-commerce enterprises. The company offers services to clients within the area.","Data feed management, Online marketing, Advertising, Online marketplaces, e-commerce, Amazon, Zalando, Miinto, eBay, idealo, Order synchronization, Shopify, Magento, WooCommerce, Shopware","Computer Software, Internet","Private"
"Allgress, Inc. designs and develops application software. The company offers a platform to solve the problem of how to assess, understand, and manage corporate risk. It also provides operational efficiency and serves clients in the United States.","Governance, Risk, Compliance, GRC, IT-GRC, Risk Management, Compliance Management, Information Security","Computer Software","Private"
"Vertexa, LLC is an IT company that specializes in software development, consulting, and staffing. It helps identify software solutions that best suit the business needs, integrate existing technologies, develop customized software solutions, or modernize existing legacy software systems.","specializes in staffing consultants and full-time positions for a variety of IT positions.","Computer Software, Information Technology & Services, Internet","Private"
"Sound Web Solutions, LLC provides consulting, development and staffing solutions to startups and web or mobile-based businesses. It is a software business that publishes a software suite called Groomy, which is an appointment scheduling software and includes features such as appointment reminders, appointment scheduling, client management, commission management, mobile grooming, services list, and staff management.","Software, SaaS, Appointment scheduling, Staff management","Internet, Information Technology & Services","Private"
"Menlo Technologies, Inc. is a developer of a cloud-based online platform designed to offer data analytics and software development services. The company provides cloud integration, data analytics, mobile technology, software development, enterprise development, mobile and IoT development, DevOps, cloud ERP, managed services, and other cloud solutions, enabling software companies to design and develop software that will transform the way do business.","Web Development - Java, NET, PHP, Responsive Design, Mobile Development - iOS, Android, Cloud Development - Azure, Amazon AWS, EC2, Cloud Integration, Data Analytics, Integration, User Experience Design, Localization, Sage Intacct, Microsoft Dynamics","Information Services, Internet, Computer Software","Public Sub"
"Aissel Technologies, Inc. is a provider of enterprise SaaS applications for Medical Opinion Leader Management. Its enterprise-class software solutions cater to the business intelligence needs of industry Pharmaceutical, Biotech, and Medical Devices companies.","KOL Identification, Profiling, MSL CRM Application, KOL Management Software, KOL Management Software Integration, Application Development, Outsourced Product Development, Salesforce com application development","Computer Software","Private"
"Ascendore, Ltd. is a software firm that works with financial services firms and regulators who have a transformational vision for the risk and compliance functions and need a technology partner who understands that vision and has the tools and experience to bring it to life. Its solutions are built on familiar, everyday office platforms; Microsoft SharePoint and Office 365 therefore significantly reducing the barriers to adoption, reducing the cost of ownership, and making it easier to engage the front-line business in key GRC-related processes.","Enterprise Risk Management software, Operational Risk Management software, Conduct Risk Management software, GRC Software, Strategy Execution software, Balanced Scorecard software, Senior Managers Regime","Information Technology & Services","Private"
"MiniSoft, Inc. provides strategic account management solutions through a comprehensive AR and WIP software suite, services, and support. It offers strategic account management solutions account receivable collection software, automated business processing, legal debt, legal collections software, work in progress, legal software, wip tracking, gbnf, billing collections.","Strategic Account Management Solutions Account Receivable Collection Software, Automated Business Processing, Legal Debt, Legal Collections Software, Work In Progress, Legal Software, Wip Tracking, Gbnf, Billing Collections","Computer Software, Information Technology & Services","Private"
"Kingdomware Technologies, Inc. is a service-disabled veteran-owned business that provides web, software, and technology solutions to enterprise problems. The company specializes in providing web, client, network, and mobile application solutions for government, industry, and nonprofits.","Information Technology & Services, Networking, Technology, B2B, SAAS, Enterprise","Internet, Computer Software","Private"
"Oituk, Ltd. doing business as CCube Solutions, Ltd. provides electronic document and content management and workflow solutions, based on the CCube software suite. The company systems scale from small departmental applications to large enterprise-wide solutions and include: the CCube portal, electronic forms, workflow, content searching, and CCube Electronic Document.","Electronic Document & Records Management, Electronic Content Management, Electronic Forms, Business Process Automation","Computer Software, Information Services","Private"
"Knosys, Ltd. develops and licenses computer software. It owns and operates Knosys Platform, which provides an enterprise-grade knowledge management solution that enables large or small organizations to capture, manage and access information in disparate business units, divisions and information technology platforms. It also offers business process, enterprise search, knowledge management, process management, and software as a service.","Knowledge Management, Process Management, Software as a Service, Business Process, Enterprise Search","Information Technology & Services, Information Services","Public"
"Planisware SAS is a global provider of software solutions for project portfolio management. It offers strategic portfolio planning, portfolio management, resource management, and project execution solutions. The company also provides Planisware, a project, and portfolio management software solution that helps users to shape the strategy and direction of businesses; define, prioritize, and manage a portfolio of projects; gain visibility and manage resources; control projects, and improve team collaboration and sustain engagement.","PPM, EPM, PLM, PSA, PMO, CMMS, new product development planning, program management, product management, portfolio management, project management, resource management, budget management, Stage-Gate governance, collaboration, ideation, Scaled Agile, Agile Enterprise, SPM","Computer Software","Venture Capital"
"Syntelli Solutions, Inc. is a computer software and consulting company that provides IT consulting services. The company offers finance transformation, enterprise performance management, process optimization, and business intelligence consulting services. It serves clients in the Retail, Health Care, Insurance, Hospitality/Services, Financial Services, and Manufacturing industries.","Marketing Analytics, Pricing Analytics, Population Health Analytics, Fraud Detection, Call Center Analytics, Master Data Management, Chatbots, IoT, Predictive Maintenance, Data Automation, Blockchain, Customer Intelligence, Warranty Analytics, Data Science, Machine Learning, Artificial Intelligence, Managed Analytics as a Service, Predictive Analytics, Data Engineering, Reporting, Visualization, Enterprise Information Management","Computer Software","Private"
"Emerge Incorporated  focused on Entrepreneurial Strategy, Executive Leadership and Performance Management. Its four momentum drivers exist in business: Go-to-market, Leadership & Performance management & Scorecarding.","Business and Leadership Advisory","Venture Capital & Private Equity","Private"
"Mosaic Data Solutions, Inc. doing business as Mosaic21 has provided business software, custom software services, consulting, and systems development to customers in a variety of industries. The company provides innovative, integrated software solutions and services in the manufacturing, distribution, and retail industries. It helps businesses optimize its enterprise performance strategies and compete in the knowledge-driven 'networked economy, with its ever-increasing demands for information, integration, and collaboration.","Enterprise Software, Network Solutions","Computer Software","Private"
"Aruba Informatik GmbH has been concentrating on the development and implementation of business intelligence and performance management solutions. The company offers technologically leading software for data extraction and delivery (ETL), business intelligence, planning, reporting, company cockpits, and dashboards.","Information Services, Information Technology, IT Management","Information Services, Information Technology & Services","Private"
"Zanibal, LLC provides a suite of solutions for managing sales, service and back-office business processes. Its Sales Force Automation, Customer Relationship Management, Enterprise Resource Planning, Performance Management and Capital Market solutions can easily be customized to exactly match how to do business.","CRM, SFA, SOA, CAPITAL MARKETS","Management Consulting, Information Technology & Services, Outsourcing/Offshoring","Private"
"Sedin Technologies Pvt., Ltd. is a software development and consulting company offering high-end solutions for various business needs. The company provides global business consulting, digital, IT, and outsourcing services. It also caters to advanced and intuitive solutions to the needs of budding startups and large-scale enterprises.","Enterprise Asset Management, Enterprise Content Management, CAD Design Services, Piping, Plant Engineering, Business Intelligence and Analytics, RPA Services, Cloud Infrastructure Services, Technology Consulting, ECommerce, Industrial Automation, Salesforce","Computer Software","Private"
"Canvus Applications is an online inventory management system that offers cloud-based inventory tracking software, Stockpile, that serves small businesses and is the only free offering currently on the market that doesn't put restrictions on the number of users, inventory items, and locations. It also provides enterprise business solutions for some of the largest corporations and institutions in America.","Apps, Small and Medium Businesses","Computer Software, Internet","Private"
"TrueNorth Technology Solutions, Inc. is a cloud-based productivity suite. It enables to creation, management, and updating of enterprise web and mobile applications. The company provides the premier platform, tools, and services for powering the rapid delivery of custom business technology solutions using a powerful and proven common foundation for data, content, process, and rules, and clean and modern multi-device user interfaces.","Information Technology, Services","Computer Software, Internet","Private"
"Inflectra Corp. is a provider of software testing and project management software solutions. It also offers cloud services, application development, robotic process automation, ERP, and other services. It then makes turn-key solutions that address many challenges in software testing and QA, test automation, and product lifecycle management.","Test Management Software, Requirements Management Software, Agile Project Management, Application Lifecycle Management (ALM), Automated Software Testing, Software Test Automation, Enterprise Agile Program Management, Test Management, Requirements & Bug Tracking, Test Automation for Web, Mobile & Desktop, Customer Support & Help Desk, Enterprise Program Management, Enterprise Risk Management, Agile Enterprise Portfolio Management","Computer Software","Private"
"Avaus Marketing Innovations Oy provides digital product design and development. The company offers solutions such as cloud transformation, data platforms, robotic process automation, content management systems, operational design, rapid business development, data engineering, software development, and enterprise architecture among others.

","Business Strategy, Analytics, Digital Service Development, Media Services, Marketing Automation, Social Media, Creative, CRM, Marketing Process Outsourcing, Mobile Services, Enterprise Social Networks, Social Business Dev, SEM and SEO Content, Service Design","Computer Software, Internet","Public Sub"
"Rational Retention, LLC doing business as Rational Enterprise develops software for the management of enterprise information. The RE product suite consists of Rational Governance, Rational Review, and Rational Analytics. Its three products share a unified platform and are fully integrated, and together provide a robust method for gaining visibility into, control over, and an understanding of enterprise data for various means, including information lifecycle management; governance, risk, and compliance; e-discovery; and big data analytics.","e-Discovery, Records Retention, GRC Governance, Risk, Compliance, Predictive Coding, Information Lifecycle Management, Machine Learning, GDPR, Data Governance, Risk management, Legal hold, ESI collection, Data management, Information governance, Early case assessment","Information Services","Private"
"BlueBiz Consulting, Inc. is a Canadian-owned technology advisory and delivery firm. It is highly specialized in Information Management, Business Intelligence, Big Data, Analytics, Data Visualization, Data Governance, Cloud SaaS and Tableau Software for evidence-based decision-making and performance improvement.","analytics, analytics strategy, big data, business intelligence, cloud business intelligence and analytics, dashboards, data governance, data visualization, key performance indicators (kpis), performance improvement, predictive analytics, scorecards","Information Services","Private"
"Mediastep Software Vietnam Co., Ltd. is a software company that provides e-commerce solutions and software outsourcing services to leading global enterprises. Its product includes GoSell, which has developed a complete omnichannel business model OAO (Online and Offline). This is a solution that integrates parallel between physical stores and online business channels, synchronizing all selling platforms to one place for management. It is a strategic partner of the international e-commerce platform Alibaba.com to help Vietnamese businesses export goods to foreign markets.","b2b, b2c, e-commerce platforms, emerging markets, social network","Computer Software, Information Technology & Services, Internet","Private"
"Pathfinder Software, LLC doing business as CenterEdge Software offers the best management solution for the amusement, entertainment and FEC industries. The Company's integrated suite of products allows managing the entire entertainment business from one complete software package. It provides everything from POS to group sales and redemption counter software.","Point of Sale Software, Redemption Management Software, Customer Loyalty Software, Online Party Bookings, Online Ticketing, Inventory Control, FEC, Family Entertainment Centers, Amusement Parks, Trampoline Parks, Water Parks, Party Booking, Guest Analytics, Cashless Operations, Food & Beverage, Liability Waivers, Access Control, Employee Management","Computer Software","Private"
"AdmiralCloud AG is a fully featured Digital Asset Management Software designed to serve Enterprises, Startups. The company provides end-to-end solutions designed for Web apps. It is a cloud-based digital asset management agency.","Video-Asset-Management, Software-as-a-Service, Cloud Computing, Digital Asset Management, Digital Media Mangement, Image Management, Digital Content Management, Agency Content Management, Media Asset Management, Media, Images, Picture, Documente, Audios, ElasticSearch","Internet, Computer Software, Information Technology & Services","Private"
"Calibra Solutions, Ltd. is an innovative technology company, dedicated to providing scalable, advanced, and cost-effective business solutions. It is a technology-based solutions enterprise dedicated to helping Caribbean corporations to be more resilient, innovative, and strategic in response to a dynamic business environment. The company offers cyber security, business analytics, enterprise content management, and software solutions.","Information Security, Cybersecurity, Readiness Assessment, Penetration Testing, Security Awareness Training, Threat Intelligence, Darktrace, Searchlight, Varonis, Packetlabs, KnowBe4, Business Intelligence, Business Analytics, Enterprise Performance Management, IBM Cognos, IBM SPSS, Qlik, Financial Application Software, Banking Software, MIMICS","","Private"
"Sofvue, LLC doing business as Fresno Bizz is a leading software and mobile app development company. It provides sophisticated technology solutions for enterprise and startup businesses. The company delivers a full agile of software consulting and mobile app development services to clients in Fresno, California.","Software Development, Mobile App Development, Web Design, SEO, Website Development, Digital Marketing, E-commerce Website Development, Social Media Marketing, Online Advertising","Computer Software, Internet, Information Technology & Services","Private"
"Bona Technologies Systems Pte., Ltd. is a pre-approved SMEs go digital vendor specializing in e-commerce websites and point of sales software equipped with enterprise resource planning modules. It combines both Odoo, WordPress as well as localized ERP requirements to provide a full suite of business solutions to empower.","Information Technology & Services","Information Technology & Services, Internet, Computer Software","Private"
"MinMax Technologies, Inc. offers enterprise resource planning solutions. It provides data warehousing, analysis, and reporting; business analysis; and performance management solutions. It provides procurement, accounts payable, and expense management automation solutions.","Asset Management, Asset Inspection, Meter Exchange, NERC Compliance, Inspection Maintenance, Job Briefing, Compliance Reporting, Electric Utility Inspection Software, Offline Asset Inspections, Asset Maintenance, Substation Maintenance, Document Management, Asset Performance, Asset Dashboarding, Asset Inspection Reporting, PRC-005-6, FAC-008, Battery Testing, DGA Reporting, Utility Best Practices, GIS Pole Inspections, Work Order Maintenance, Preventive Maintenance, Corrective Maintenance, Reactive Maintenance, Condition Based Maintenance","Information Services","Private"
"Complogix, LLC is a human capital management software company that provides a suite of cloud-based systems to support critical phases of the employee life cycle. The company provides hosted software solutions supporting common HR processes such as compensation planning, performance management, and talent management to help companies better engage, reward, and develop employees. It serves its clients in United States.","Compensation Planning, Performance Management, Total Rewards Statements, Talent Management","Computer Software","Private"
"RainMaker Software, LLC provides practical and progressive financial management solutions to mid-to-large sized law firms in the United States, Canada, and Latin America. It offers financial management and practice management solutions; Business Intelligence software that allows firms to access, extract, and analyze information in practical formats for supporting critical business decisions; e-RainMaker Platinum, a suite of Web applications to provide staff with access to financial and practice management applications; SharePoint portal integration software; and time and billing software solutions.","Software development, legal, financial","Computer Software, Law Practice & Legal Services","Public Sub"
"Sentinel Development Solutions, Inc. doing business as collections provides enterprise debt collection management software solutions. The company offers collections, a debt collection solution for recovering delinquent and charged-off accounts, as well as for managing the sale and acquisition of bad debt portfolios. It's software suite consists of debt portfolio analysis, embedded analytics and scoring, graphical automated workflow, collection strategy tree, negotiation, and account data exchange tools.","Arm & debt collection software, IT software, Accounting & Finance, ERP, Other finance & admin, Information technology","Computer Software","Private"
"UNIT Technology Corp. provides professional software solutions and products for finance and business management. The company offers business process management, business intelligence, software outsourcing, professional services, financial software solutions, development services, banking software solutions, and insurance software insurance.","Business Process Management, Business Intelligence, Software Outsourcing, Software Professional Services, It Professional Services, Financial Software Solutions, Software Development Services, Banking Software Solutions, Insurance Software Insurance","Computer Software, Internet","Private"
"Ashael Tek Solutions, LLC is a woman-owned small business that provides and reliable technical services to the Department of Defense (DoD) and the Intelligence Community (IC). It specializes in software engineering, web application development, management consulting, and enterprise content management. The company offers software development or engineering, web applications, process improvement, and enterprise content management.","Systems Administration, Software Development or Engineering, Web Applications, Process Improvement, Enterprise Content Management","Information Technology & Services, Computer Software","Private"
"OutlookSoft Corp. develops predictive performance management solutions. The company's flagship solution, OutlookSoft 5, provides a single performance management platform for strategic planning, budgeting, forecasting, statutory consolidation, reporting, analysis, predictive analytics, scorecarding, and dashboards. It's solutions are used by various organizations and users to measure, manage, and predict their financial and operational performance.","analytics, enterprise software, enterprisesoftware&networksolutions, information technology, networksolutions, network solutions","Management Consulting, Information Services, Market Research","Public Sub"
"The Pioneer Tech is an E-commerce web solution, website development, and custom software solution company. It is a one-stop solution for all industry enterprise IT Needs which includes Website development, Portal development, CRM development, Customized Online applications for admin and process flow management (SAAS- Software as a service) Solutions and data processing, E-commerce setup solutions, and digital marketing. The company provides its products and services to businesses and customers in Ahmedabad.","Online CRM Development in ahmedabad, Website Development in ahmedabad, Business software development in ahmedabad, Customised software development in ahmedabad, Brand Promotion in ahmedabad, Excel to CRM based software development in ahmedabad","Computer Software, Internet","Private"
"Polarys SAS operates in Information Technology and Services. The company also specializes in Business Intelligence, Big Data, TMA, EPM, Consulting & Integration, Performance management, Reporting, Budgeting, Analysis, Payroll management, Social management control, Variable compensation management, IS master plan, and AMOA.","Business Intelligence, Big Data, TMA, EPM, Consulting & Integration, Performance management, Reporting, Budgeting, Analysis, Payroll management, Social management control, Variable compensation management, IS master plan, AMOA, data science, data visualization, BI","Information Technology & Services, Information Services","Private"
"Adeptia, Inc. is an enterprise software company providing integrated technology that automates business processes and data flows. The company provides automated business-to-business data connectivity and integration solutions to non-technical and business users. It offers Enterprise Business Integration, a Software as a Service (SaaS) business integration solution that helps companies automate partner and customer data flows and integration interfaces, and Business Process  Management, Web-based software that helps companies and organizations to design, automate and improve workflows and business processes.","Data Integration, Enterprise Application Integration (EAI), B2B Integration, Service Oriented Architecture (SOA), EDI, NetSuite Integration, SAP Integration, Enterprise Service Bus (ESB), Customer Data Integration, Digital Onboarding, iPaaS, ETL, Data Transformation, API Gateway, Data Mapping, Citizen Integrator, Hybrid Integration, Cloud Integration","Computer Software","Venture Capital"
"EasyVista, Inc. is a software provider of intelligent solutions for enterprise service management, remote support, and self-healing technologies. The company provides solutions like IT service management, asset management, financial management, project management, request management, and responsive applications. It makes it easy for companies to embrace a customer-focused, proactive, and predictive approach to service and support delivery.","Service Management, ITIL, ITSM, SAAS, Service Desk, IT Asset Management, IT Financial Management, IT Project Management, Business Intelligence, IT Self-Service, Service Apps, IT Self-Help, Knowledge Management, Virtual Agents, Remote Support, Monitoring","Information Technology & Services, Internet, Computer Software","Private Equity"
"Alert Cascade, Ltd. is a cloud-based communication and incident management software. The company's scalable cloud-based solutions are used by organizations of all sizes to communicate vital information in seconds. It specializes in providing resilient, UK-based, mass communication services.","mass notification service, business continuity, mass communication services, text messaging solutions, emergency mass notifications, cloud based telephony, cloud based communications, incident management, disaster recovery, public warning solutions","Computer Software","Private"
"BCA Technologies, Inc. provides software development and information technology solutions for businesses. The company offers various software solutions, including business website development, custom software development, HVAC software solutions for HVAC manufacturers, sales representatives, and consulting engineers, sales solutions, such as e-catalogs, pricing or quoting ordering, order info, user management, and parts warehouse, and customer relationship management and enterprise resource planning solutions.","Sales, Business Process, CPQ and Engineering Software, eRep (tm) Pricing, Selection, Submittal Software, New software program design and development, Business Reporting and Dashboard Software, Dynamics 365 Implementation, Quoting, CPQ Software, eCommerce, Product selection software, cpq, configuration pricing, b2b eCommerce, CPQ","Computer Software","Private Sub"
"Codisoft Co. is a business software solutions provider, that specialized in providing business software applications (ERP) for companies and enterprises, to improve performance and efficiency. It is an authorized Silver Partner of Odoo, the leading open-source integrated Enterprise Resources Planning (ERP) solution.","IT Services and IT Consulting","Information Technology & Services","Private"
"Wishtree Technologies, LLP is a software development and technology consulting. It specializes in web and mobile, IT consulting, software development, outsourcing, business intelligence, and enterprise performance management solutions.","Application Development, Business Intelligence, Data Warehousing, Oracle EPM, BI - Support, OBIEE, Training, JAVA, Flex, Mysql, PHP, Adobe LiveCycle, TIBCO, AWS, MongoDB, Blockchain, IT, custom software development","Information Technology & Services","Private"
"Re Communications, LLC is a software business that publishes a software suite called IP PBX Hosted and Premise based. The company offers an enterprise feature-level cloud voice solution that is affordable and simple to implement. It performs a network readiness test prior to recommending a solution.","Telecommunication Company","Information Technology & Services, Computer Networking","Private"
"9 Spokes International, Ltd. provides an online software-as-a-service application platform and store for small-medium enterprises. The company is a smart dashboard that connects business data to deliver powerful insights.","Cloud computing, Online software, Cloud Service Brokerage, Cloud applications integration, Smart dashboard, Industry-specific offerings, Supply chain optimization, Software as a Service, App marketplace, Business growth, Business Development, Fintech and Banking","Information Technology & Services, Internet","Public"
"ABIS, Inc. is a business strategy and enterprise software that provides automation tools designed for the industry. The company supports organizations by automating the business to eliminate headaches while improving operational efficiency and overall productivity. It offers a comprehensive suite of solutions that caters to manufacturing, metal, and utility industries.","Business Process Automation, Business Intelligence, Field Service Automation, Metal Building Software, Lean Manufacturing, Shop Floor Automation, Field Service Software, Software Consulting, Business Strategy, Erp Suite, Job Costing, Kpi Platform, Mobile Applications, Utility Software, Inventory Control Solutions, Quality Control, Mes Software, Hvac Software, Crm Platform, Logistics Software","Computer Software","Private"
"MHC Software Holdings, Inc. dba MHC Automation provides document processing solutions. It offers document output, document imaging, and workflow automation software that enables organizations to manage data and documents from enterprise resource planning systems. Its solution suites include MHC Document Express, MHC Document Self-Service, and MHC Image Express. The company also operates in the Software Development industry.","Document Management, Document Imaging, Automation Software Solutions, Workflow Automation, Electronic Payments, Document Output, Self-Service, ERP Integration, Integrations, Software, Digital Transformation, Document Automation, Procure to Pay, Accounts Payable Automation, Document Delivery, Document Processing, ECM, BPO, Business Process Organization, Process Automation, OCR","Computer Software","Private Equity"
"Selfservit Solutions Pvt., Ltd. provides a SaaS-based Field Service Management Software Platform, MService to Global Businesses collecting performance data of field engineers, customers and equipment. It specializes in enabling enterprises to leverage cutting-edge advances in information and communication technologies to service its end customers better.","Mobile Solutions, Mobile Service Management, Mobile Project Management, Field Activity Management, Field Service Management, Artificial Intelligence, Service AI, Digitisation, IOT, Customer App","Computer Software","Private"
"Synantix, Ltd. is the authors of iDocuments, an integrated enterprise software solution that streamlines, simplifies and automates finance, resource and people related processes. Its iDocuments provides companies with a single enterprise wide solution for purchasing, expense management, projects, resource management, timesheets, billing and HR processes. iDocuments helps leading companies all over the world to improve performance, efficiency and spend control.","Enterprise wide financial and business management software solutions, Purchase to Pay Solutions, Expenses, Timesheets and Resource Management, HR Self Service, Mobile, cloud and web enterprise software, Mobile apps","Information Technology & Services","Private Sub"
"Value Global, LLC is a global business technology partner that provides high-value software life cycle solutions to clients. The company's segments include Application Development, Managed Services, QA Solutions, Enterprise Mobility Solutions, Service Oriented Architecture (SOA) and Integration, and Reporting and Analytics Solutions. It maintains expertise not only in technology and execution but also in specific industries, ensuring its solutions address broader business concerns.","Application Development, Maintenance, Reporting, Analytics Solutions, Managed Services, Quality Assurance, Testing, Service Oriented Architecture, Integration, Enterprise Mobility, Microsoft Solutions, Oracle Technologies, Oil, Gas, Retail, Software, Robotic Process Automation, Remote DBA Services","Computer Software, Internet","Private"
"Imageware AG has been a leading Swiss provider of integrated enterprise content management (ECM) solutions. The company designs and implements solutions for intelligent information management. Its specialization lies in the digitalization of business processes as well as the realization of business applications of various types for different industries including the associated consulting services.","Digital Transformation, Records Management, Document Management, Compliance, GDPR, Case Management, Contracts Management, Invoice Management, Digital Signature, Business Process Management, System Integration, Consulting, Technology Consulting, Strategy, Operation Consulting, Human Capital Consulting, Scanning, SAP Business Solutions, Archiving, SAP Archiving, Professional Services, OpenText, iManage, Doc Flow, Enterprise Content Management (ECM), Kofax, Artificial Intelligence (AI), yubik, Information technologies, IT, AnyDoc, OpenText eDOCS","Information Technology & Services, Internet, Computer Software, Information Services","Private"
"Old St Labs, Ltd. doing business as Vizibl provides enterprise software solutions. The company also offers a cloud platform that enables organizations to drive growth over peers through supplier collaboration and innovation. It serves customers globally.","Enterprise Level Innovation, Innovation Management, Relationship Management, Enterprise Collaboration, Performance Management, Open Innovation, Supplier Collaboration, SC&I, Supplier Relationship Management, Supplier Ecosystems, Sustainable Procurement, Sustainable Business Growth, Scope 3, ESG, Sustainability, Resilience, Supply Chain, Procurement","Computer Software","Venture Capital"
"Addept Solutions, Ltd. provides enterprise software solutions. Its product Connect is an online talent management application that provides the link between Corporate Directory, Knowledge Management, and Personal Development.","IT Services, IT Consulting","Computer Software, Internet","Private"
"M-Files Corp. provides enterprise content management (ECM) solutions. The company provides cloud, on-premise, and hybrid ECM solutions that allow businesses to manage, secure, and share information with a metadata-driven approach where it resides. Its products and services also offer business processes, professional services, manufacturing, pharmaceutical, and other sectors.","Document Management, Enterprise Content Management, Workflow Automation, Compliance, Quality Management System, Business Process Automation, Paperless Office, FDA 21 CFR Part 11, Enterprise Information Management, Risk Management, Information Management, Remote Work, Collaboration, Metadata-driven, Platform","Internet","Venture Capital"
"Villani Analytics, LLC s is passionate about bringing high-performance solutions to users of EPM and ERP systems. It has a wide range of consulting services and automation for ERP, EPM, MDM, and BI products. The company is a leading solutions provider in the space.","Enterprise Resource Planning (ERP), Software","Information Technology & Services","Private"
"Retail Innovation Labs, LLC doing business as Cova Software Solutions, Inc. provides cannabis retail software platforms. It offers point-of-sale solutions to cannabis retailers, including automated compliance, inventory management, and reporting dashboards. It also serves customers worldwide.","Dispensary POS, Dispensary Interactive Menu, Dispensary Digital Signage, Dispensary Digital Menus, Cannabis Retail Software, Cannabis Retail, Cannabis technology, Cannabis POS, Cannabis Software, Inventory Management, Cannabis Compliance, Dispensary Reporting, Metrc Compliance, Cannabis Delivery, Cannabis E-commerce, Cannabis Tech Solutions, Cannabis Payments, dispensary software, cashless payments, dispensary technology","Internet, Information Technology & Services","Private Sub"
"Xugong Group Construction Machinery Co., Ltd. doing business as Xreacloud is a developer of intelligent manufacturing solutions. The company focuses on the development of intelligent manufacturing software such as product management solutions, equipment cloud management solutions, enterprise data mining, and analytic solutions, enabling manufacturers to realize efficiency gains and cost savings with the adoption of technology.","Consulting, Industrial, Information Technology, Manufacturing","Computer Software, Internet, Information Technology & Services","Venture Capital"
